date,total_bursts,total_raw_groups,total_samples
2003-01-01,4,7,210608
2003-01-02,4,7,210616
2003-01-04,15,55,214222
2003-01-05,6,13,214236
2003-01-07,11,56,217835
2003-01-08,5,32,217814
2003-01-16,13,27,226810
2003-01-19,7,23,235808
2003-01-20,2,9,234013
2003-01-21,13,38,239424
2003-01-22,6,30,241206
2003-01-23,11,46,246606
2003-01-24,9,31,250203
2003-01-25,17,60,253819
2003-01-26,39,108,257434
2003-01-27,11,51,264612
2003-01-28,15,57,268216
2003-01-29,4,27,271809
2003-01-30,4,19,278996
2003-01-31,7,30,282624
2003-02-01,4,13,286198
2003-02-02,4,12,293419
2003-02-03,6,8,297020
2003-02-04,4,15,304223
2003-02-05,5,18,307805
2003-02-06,21,71,315007
2003-02-07,185,388,322200
2003-02-08,329,550,325821
2003-02-09,675,1068,333035
2003-02-10,666,1084,336623
2003-02-11,232,383,207888
2003-02-12,483,865,338625
2003-02-14,712,1150,347488
2003-02-15,101,231,94962
2003-02-16,189,360,310187
2003-02-18,331,582,358190
2003-02-19,225,425,361752
2003-02-20,147,299,365327
2003-02-21,157,309,367111
2003-02-22,84,185,366567
2003-02-23,160,307,372211
2003-02-24,241,418,375744
2003-02-25,133,247,379250
2003-02-26,210,366,379244
2003-02-27,223,342,382809
2003-02-28,6,31,352979
2003-03-01,8,40,363938
2003-03-02,28,108,389842
2003-03-03,16,122,345984
2003-03-04,161,295,396908
2003-03-05,150,352,396687
2003-03-06,182,350,388508
2003-03-07,338,589,339140
2003-03-08,453,781,337480
2003-03-09,591,993,408468
2003-03-10,91,209,321805
2003-03-11,202,339,178715
2003-03-12,163,294,271180
2003-03-14,297,476,248803
2003-03-16,53,152,236908
2003-03-18,27,103,224274
2003-03-19,19,70,207823
2003-03-20,11,46,192055
2003-03-21,4,14,247921
2003-03-22,1006,1787,441642
2003-03-27,1017,1864,455113
2003-03-28,681,1168,456877
2003-03-30,10,57,352298
2003-03-31,587,1004,463933
2003-04-13,61,176,455491
2003-04-29,98,224,525691
2003-05-03,66,188,532819
2003-05-05,97,283,536383
2003-05-06,16,90,536284
2003-05-07,174,420,541809
2003-05-08,116,267,541809
2003-05-09,169,467,545409
2003-05-10,120,332,545395
2003-05-11,27,142,545397
2003-05-12,34,89,545414
2003-05-13,1498,2450,545424
2003-05-14,26,131,549008
2003-05-15,2207,3687,549018
2003-05-16,9,38,549006
2003-05-17,12,22,549015
2003-05-18,88,175,549017
2003-05-19,3,33,211208
2003-05-20,3,14,325900
2003-05-28,415,760,552595
2003-05-29,174,447,552600
2003-05-30,28,152,552600
2003-05-31,51,164,552606
2003-06-01,16,112,552597
2003-06-02,1713,2907,552593
2003-06-04,12,59,552590
2003-06-05,362,733,551864
2003-06-06,22,69,552607
2003-06-07,52,177,552609
2003-06-08,117,279,552599
2003-06-09,1566,2470,552620
2003-06-10,113,306,552588
2003-06-11,31,114,552584
2003-06-12,68,236,552596
2003-06-13,8,45,552613
2003-06-14,18,72,552609
2003-06-15,21,114,552605
2003-06-18,2222,3853,515294
2003-06-19,1553,2715,550803
2003-06-20,44,93,552599
2003-06-21,11,46,550795
2003-06-22,24,87,550812
2003-06-23,402,681,524024
2003-10-27,1019,1599,356761
2003-10-28,2177,3468,356761
2003-10-29,917,1573,356761
2003-10-30,646,920,350815
2003-11-21,201,439,246605
2003-11-22,44,109,244809
2003-11-23,22,67,243014
2003-11-24,53,118,239403
2003-11-25,46,120,239405
2003-11-26,78,246,235797
2003-11-27,65,198,234013
2003-11-28,7,66,232205
2003-11-29,6,24,230400
2003-11-30,6,29,228608
2003-12-01,15,81,226808
2003-12-02,30,151,225016
2003-12-03,58,225,225014
2003-12-04,30,147,221413
2003-12-06,7,67,219611
2003-12-07,204,431,217806
2003-12-08,198,404,217811
2003-12-09,49,131,216006
2003-12-10,29,99,215209
2003-12-11,25,101,238429
2003-12-12,3,13,212405
2003-12-13,4,21,212400
2003-12-14,5,36,212401
2003-12-15,21,127,212406
2003-12-16,27,128,212400
2003-12-17,50,172,212407
2003-12-18,67,228,212407
2003-12-19,61,166,210614
2003-12-20,61,188,210609
2003-12-21,46,187,210601
2003-12-22,103,239,210608
2003-12-23,135,254,210599
2003-12-24,113,287,212415
2003-12-25,66,192,212404
2003-12-26,8,52,212400
2003-12-27,13,64,212403
2003-12-28,4,20,212403
2003-12-29,6,38,212398
2003-12-30,12,93,214208
2003-12-31,12,58,216007
